Survived,Pclass,Sex,Age,Fare,FamilySize,isAlone,Title,Name_Len
0,1,male,24.0,247.5208,2,0,Mr.,24
0,3,female,2.0,31.275,7,0,Miss.,33
0,2,male,21.0,73.5,3,0,Mr.,27
0,3,male,29.69911764705882,8.05,1,1,Mr.,26
0,2,male,32.5,30.0708,2,0,Mr.,20
1,2,female,32.5,13.0,1,1,Miss.,19
0,1,male,54.0,77.2875,2,0,Mr.,27
1,3,male,12.0,11.2417,2,0,Master.,28
0,3,male,29.69911764705882,7.75,1,1,Mr.,19
1,3,male,24.0,7.1417,1,1,Mr.,25
1,3,female,29.69911764705882,22.3583,3,0,Miss.,17
0,3,male,45.0,6.975,1,1,Mr.,18
0,3,male,33.0,7.8958,1,1,Mr.,20
0,3,male,20.0,7.05,1,1,Mr.,30
0,3,female,47.0,14.5,2,0,Mrs.,46
1,2,female,29.0,26.0,2,0,Mrs.,45
0,2,male,25.0,13.0,1,1,Mr.,30
0,2,male,23.0,15.0458,1,1,Mr.,18
1,1,female,19.0,26.2833,3,0,Miss.,28
0,1,male,37.0,53.1,2,0,Mr.,27
0,3,male,16.0,9.2167,1,1,Mr.,19
0,1,male,24.0,79.2,1,1,Mr.,18
0,3,female,29.69911764705882,15.2458,3,0,Mrs.,29
1,3,female,22.0,7.75,1,1,Miss.,24
1,3,female,24.0,15.85,2,0,Mrs.,52
0,3,male,19.0,6.75,1,1,Mr.,19
0,2,male,18.0,11.5,1,1,Mr.,26
0,2,male,19.0,36.75,3,0,Mr.,28
1,3,male,27.0,7.7958,1,1,Mr.,44
0,3,female,9.0,34.375,5,0,Miss.,32
0,2,male,36.5,26.0,3,0,Mr.,40
0,2,male,42.0,13.0,1,1,Rev.,33
0,2,male,51.0,12.525,1,1,Rev.,26
1,1,female,22.0,66.6,2,0,Mrs.,33
0,3,male,55.5,8.05,1,1,Mr.,16
0,3,male,40.5,14.5,3,0,Mr.,31
0,3,male,29.69911764705882,7.3125,1,1,Mr.,21
0,1,male,51.0,61.3792,2,0,Mr.,27
1,3,female,16.0,7.7333,1,1,Miss.,32
0,3,male,30.0,8.05,1,1,Mr.,15
0,3,male,29.69911764705882,8.6625,1,1,Mr.,19
0,3,male,29.69911764705882,69.55,11,0,Master.,26
0,3,male,44.0,16.1,2,0,Mr.,24
1,2,female,40.0,15.75,1,1,Mrs.,50
0,3,male,26.0,7.775,1,1,Mr.,26
0,3,male,17.0,8.6625,1,1,Mr.,15
0,3,male,1.0,39.6875,6,0,Master.,28
1,3,male,9.0,20.525,3,0,Master.,47
1,1,female,29.69911764705882,55.0,2,0,Mrs.,38
0,3,female,45.0,27.9,6,0,Mrs.,47
0,1,male,29.69911764705882,25.925,1,1,Mr.,19
0,3,male,28.0,56.4958,1,1,Mr.,13
0,1,male,61.0,33.5,1,1,Mr.,25
0,3,male,4.0,29.125,6,0,Master.,20
1,3,female,1.0,11.1333,3,0,Miss.,28
0,3,male,21.0,7.925,1,1,Mr.,25
0,1,male,56.0,30.6958,1,1,Mr.,23
0,3,male,18.0,7.8542,3,0,Mr.,22
0,3,male,29.69911764705882,25.4667,5,0,Master.,29
0,1,female,50.0,28.7125,1,1,Miss.,26
0,2,male,30.0,13.0,1,1,Mr.,18
0,3,male,36.0,0.0,1,1,Mr.,19
0,3,female,29.69911764705882,69.55,11,0,Miss.,28
0,2,male,29.69911764705882,15.05,1,1,Mr.,16
0,3,male,9.0,31.3875,7,0,Master.,37
1,2,male,1.0,39.0,4,0,Master.,25
1,3,female,4.0,22.025,3,0,Miss.,35
0,1,male,29.69911764705882,50.0,1,1,Mr.,21
1,3,female,29.69911764705882,15.5,2,0,Mrs.,47
1,1,male,45.0,26.55,1,1,Mr.,45
0,3,male,40.0,15.5,3,0,Mr.,16
0,3,male,36.0,7.8958,1,1,Mr.,19
1,2,female,32.0,13.0,1,1,Mrs.,19
0,2,male,19.0,13.0,1,1,Mr.,21
1,3,female,19.0,7.8542,2,0,Miss.,47
1,2,male,3.0,26.0,3,0,Master.,26
1,1,female,44.0,27.7208,1,1,Mrs.,41
1,1,female,58.0,146.5208,1,1,Miss.,20
0,3,male,29.69911764705882,7.75,1,1,Mr.,19
0,3,male,42.0,8.4042,2,0,Mr.,32
1,3,female,29.69911764705882,7.75,1,1,Miss.,32
0,2,female,24.0,13.0,1,1,Miss.,38
0,3,male,28.0,9.5,1,1,Mr.,30
0,3,male,29.69911764705882,69.55,11,0,Mr.,19
0,3,male,34.0,6.4958,1,1,Mr.,26
0,3,male,45.5,7.225,1,1,Mr.,20
1,3,male,18.0,8.05,1,1,Mr.,24
0,3,female,2.0,10.4625,2,0,Miss.,26
0,3,male,32.0,15.85,2,0,Mr.,26
1,3,male,26.0,18.7875,1,1,Mr.,27
1,3,female,16.0,7.75,1,1,Miss.,25
1,1,male,40.0,31.0,1,1,Mr.,16
0,3,male,24.0,7.05,1,1,Mr.,14
1,2,female,35.0,21.0,1,1,Miss.,26
0,3,male,22.0,7.25,1,1,Mr.,22
0,2,male,30.0,13.0,1,1,Mr.,27
0,3,male,29.69911764705882,7.75,2,0,Mr.,19
1,1,female,31.0,113.275,2,0,Miss.,23
1,3,female,27.0,7.925,1,1,Miss.,22
0,2,male,42.0,27.0,2,0,Mr.,28
1,1,female,32.0,76.2917,1,1,Miss.,21
0,2,male,30.0,10.5,1,1,Mr.,18
1,3,male,16.0,8.05,1,1,Mr.,30
0,2,male,27.0,13.0,1,1,Mr.,20
0,3,male,51.0,8.05,1,1,Mr.,23
0,3,male,29.69911764705882,7.8958,1,1,Mr.,20
1,1,male,38.0,90.0,2,0,Mr.,28
0,3,male,22.0,9.35,1,1,Mr.,28
1,2,male,19.0,10.5,1,1,Mr.,25
0,3,male,20.5,7.25,1,1,Mr.,31
0,2,male,18.0,13.0,1,1,Mr.,25
0,3,female,29.69911764705882,25.4667,5,0,Miss.,23
1,1,female,35.0,83.475,2,0,Mrs.,44
0,3,male,29.0,7.775,1,1,Mr.,24
0,2,male,59.0,13.5,1,1,Mr.,25
1,3,female,5.0,31.3875,7,0,Miss.,30
0,2,male,24.0,10.5,1,1,Mr.,33
0,3,female,29.69911764705882,7.55,1,1,Miss.,28
0,2,male,44.0,26.0,2,0,Mr.,17
1,2,female,8.0,26.25,3,0,Miss.,32
0,2,male,19.0,10.5,1,1,Mr.,31
0,2,male,33.0,12.275,1,1,Mr.,22
0,3,female,29.69911764705882,14.4542,2,0,Miss.,21
1,3,female,29.69911764705882,15.5,2,0,Miss.,30
0,2,male,29.0,10.5,1,1,Mr.,31
0,3,male,22.0,7.125,1,1,Mr.,29
0,3,male,30.0,7.225,1,1,Mr.,20
0,1,male,44.0,90.0,3,0,Dr.,27
0,3,female,25.0,7.775,1,1,Miss.,37
1,2,female,24.0,14.5,3,0,Mrs.,31
1,1,male,37.0,52.5542,3,0,Mr.,29
0,2,male,54.0,26.0,2,0,Rev.,29
0,3,male,29.69911764705882,7.25,1,1,Mr.,22
0,3,female,29.0,10.4625,3,0,Mrs.,42
0,1,male,62.0,26.55,1,1,Mr.,25
0,3,male,30.0,16.1,2,0,Mr.,24
0,3,female,41.0,20.2125,3,0,Mrs.,40
1,3,female,29.0,15.2458,3,0,Mrs.,39
1,1,female,29.69911764705882,79.2,1,1,Mrs.,30
1,1,female,30.0,86.5,1,1,Miss.,20
1,1,female,35.0,512.3292,1,1,Miss.,16
1,2,female,50.0,26.0,2,0,Mrs.,27
0,3,male,29.69911764705882,7.75,1,1,Mr.,17
1,3,male,3.0,31.3875,7,0,Master.,33
0,1,male,52.0,79.65,3,0,Mr.,17
0,1,male,40.0,0.0,1,1,Mr.,21
0,3,female,29.69911764705882,7.75,1,1,Miss.,18
0,2,male,36.0,10.5,1,1,Mr.,17
0,3,male,16.0,39.6875,6,0,Mr.,25
1,3,male,25.0,7.775,2,0,Mr.,24
1,1,female,58.0,153.4625,2,0,Mrs.,45
1,1,female,35.0,135.6333,1,1,Miss.,22
0,1,male,29.69911764705882,31.0,1,1,Mr.,21
1,3,male,25.0,0.0,1,1,Mr.,28
1,2,female,41.0,19.5,2,0,Mrs.,41
0,1,male,37.0,29.7,2,0,Mr.,21
1,3,female,29.69911764705882,7.75,1,1,Miss.,26
1,1,female,63.0,77.9583,2,0,Miss.,33
0,3,female,45.0,7.75,1,1,Miss.,33
0,2,male,29.69911764705882,0.0,1,1,Mr.,27
0,3,male,7.0,29.125,6,0,Master.,18
1,3,female,35.0,20.25,3,0,Mrs.,32
0,3,male,65.0,7.75,1,1,Mr.,16
0,3,male,28.0,7.8542,1,1,Mr.,32
0,3,male,16.0,9.5,1,1,Mr.,25
1,3,male,19.0,8.05,1,1,Mr.,26
0,1,male,29.69911764705882,26.0,1,1,Mr.,26
0,3,male,33.0,8.6625,1,1,Mr.,19
1,3,male,30.0,9.5,1,1,Mr.,23
0,3,male,22.0,7.8958,1,1,Mr.,20
1,2,male,42.0,13.0,1,1,Mr.,20
1,3,female,22.0,7.75,1,1,Miss.,20
1,1,female,26.0,78.85,1,1,Miss.,28
1,1,female,19.0,91.0792,2,0,Mrs.,39
0,2,male,36.0,12.875,1,1,Mr.,22
0,3,female,24.0,8.85,1,1,Miss.,19
0,3,male,24.0,7.8958,1,1,Mr.,16
0,1,male,29.69911764705882,27.7208,1,1,Mr.,17
0,3,male,23.5,7.2292,1,1,Mr.,18
0,1,female,2.0,151.55,4,0,Miss.,28
1,1,male,29.69911764705882,30.5,1,1,Mr.,21
1,1,female,50.0,247.5208,2,0,Mrs.,47
1,3,female,29.69911764705882,7.75,1,1,Miss.,40
1,3,male,29.69911764705882,23.25,3,0,Mr.,18
0,3,male,19.0,0.0,1,1,Mr.,31
1,2,female,29.69911764705882,12.35,1,1,Miss.,19
0,3,male,29.69911764705882,8.05,1,1,Mr.,33
1,1,male,0.92,151.55,4,0,Master.,30
1,1,female,29.69911764705882,110.8833,1,1,Miss.,23
1,1,female,17.0,108.9,2,0,Mrs.,82
0,2,male,30.0,24.0,2,0,Mr.,19
1,1,female,30.0,56.9292,1,1,Miss.,30
1,1,female,24.0,83.1583,1,1,Miss.,30
1,1,female,18.0,262.375,5,0,Miss.,26
0,2,female,26.0,26.0,3,0,Mrs.,37
0,3,male,28.0,7.8958,1,1,Mr.,22
0,2,male,43.0,26.25,3,0,Mr.,18
1,3,female,26.0,7.8542,1,1,Miss.,31
1,2,female,24.0,26.0,2,0,Mrs.,35
0,2,male,54.0,14.0,1,1,Dr.,20
1,1,female,31.0,164.8667,3,0,Miss.,24
1,1,female,40.0,134.5,3,0,Mrs.,56
0,3,male,22.0,7.25,1,1,Mr.,18
0,3,male,27.0,7.8958,1,1,Mr.,16
1,2,female,30.0,12.35,1,1,Miss.,25
1,2,female,22.0,29.0,3,0,Mrs.,51
0,3,male,29.69911764705882,69.55,11,0,Mr.,24
1,1,female,36.0,135.6333,1,1,Miss.,24
0,3,male,61.0,6.2375,1,1,Mr.,25
1,2,female,36.0,13.0,1,1,Mrs.,23
1,3,female,31.0,20.525,3,0,Mrs.,46
1,1,female,16.0,57.9792,2,0,Miss.,28
1,3,female,29.69911764705882,23.25,3,0,Miss.,18
0,1,male,45.5,28.5,1,1,Mr.,19
0,1,male,38.0,153.4625,2,0,Mr.,25
0,3,male,16.0,18.0,3,0,Mr.,31
1,1,female,29.69911764705882,133.65,2,0,Mrs.,50
0,3,male,29.69911764705882,7.8958,1,1,Mr.,18
0,1,male,29.0,66.6,2,0,Mr.,25
1,1,female,41.0,134.5,1,1,Miss.,31
1,3,male,45.0,8.05,1,1,Mr.,21
0,1,male,45.0,35.5,1,1,Mr.,28
1,2,male,2.0,26.0,3,0,Master.,30
1,1,female,24.0,263.0,6,0,Miss.,30
0,2,male,28.0,13.0,1,1,Mr.,26
0,2,male,25.0,13.0,1,1,Mr.,42
0,2,male,36.0,13.0,1,1,Mr.,23
1,2,female,24.0,13.0,1,1,Miss.,29
1,2,female,40.0,13.0,1,1,Miss.,25
1,3,female,29.69911764705882,16.1,2,0,Mrs.,41
1,3,male,3.0,15.9,3,0,Master.,38
0,3,male,42.0,8.6625,1,1,Mr.,16
0,3,male,23.0,9.225,1,1,Mr.,22
0,1,male,29.69911764705882,35.0,1,1,Mr.,38
0,3,male,15.0,7.2292,3,0,Mr.,18
0,3,male,25.0,17.8,2,0,Mr.,25
0,3,male,29.69911764705882,7.225,1,1,Mr.,17
0,3,male,28.0,9.5,1,1,Mr.,27
1,1,female,22.0,55.0,2,0,Miss.,27
0,2,female,38.0,13.0,1,1,Miss.,25
1,3,female,29.69911764705882,7.8792,1,1,Miss.,20
1,3,female,29.69911764705882,7.8792,1,1,Miss.,33
0,3,male,40.0,27.9,6,0,Mr.,18
0,2,male,29.0,27.7208,2,0,Mr.,25
0,3,female,45.0,14.4542,2,0,Mrs.,31
0,3,male,35.0,7.05,1,1,Mr.,15
0,3,male,29.69911764705882,15.5,2,0,Mr.,19
0,3,male,30.0,7.25,1,1,Mr.,30
1,1,female,60.0,75.25,2,0,Mrs.,48
1,3,female,29.69911764705882,7.2292,1,1,Mrs.,30
1,3,female,29.69911764705882,7.75,1,1,Miss.,19
1,1,female,24.0,69.3,1,1,Mme.,29
1,1,male,25.0,55.4417,2,0,Mr.,27
0,3,male,18.0,6.4958,2,0,Mr.,25
0,3,male,19.0,8.05,1,1,Mr.,26
0,1,male,22.0,135.6333,1,1,Mr.,19
0,3,female,3.0,21.075,5,0,Miss.,26
1,1,female,29.69911764705882,82.1708,2,0,Mrs.,37
1,3,female,22.0,7.25,1,1,Miss.,31
0,1,male,27.0,211.5,3,0,Mr.,25
0,3,male,20.0,4.0125,1,1,Mr.,19
0,3,male,19.0,7.775,1,1,Mr.,27
1,1,female,42.0,227.525,1,1,Miss.,21
1,3,female,1.0,15.7417,3,0,Miss.,27
0,3,male,32.0,7.925,1,1,Mr.,18
1,1,female,35.0,52.0,2,0,Mrs.,51
0,3,male,29.69911764705882,7.8958,1,1,Mr.,22
0,2,male,18.0,73.5,1,1,Mr.,25
0,3,male,1.0,46.9,8,0,Master.,31
1,2,female,36.0,13.0,1,1,Miss.,16
0,3,male,29.69911764705882,7.7292,1,1,Mr.,20
1,2,female,17.0,12.0,1,1,Miss.,21
1,1,male,36.0,120.0,4,0,Mr.,26
1,3,male,21.0,7.7958,1,1,Mr.,22
0,3,male,28.0,7.925,3,0,Mr.,28
1,1,female,23.0,113.275,2,0,Miss.,22
1,3,female,24.0,16.7,3,0,Mrs.,51
0,3,male,22.0,7.7958,1,1,Mr.,19
0,3,female,31.0,7.8542,1,1,Miss.,19
0,2,male,46.0,26.0,1,1,Mr.,23
0,2,male,23.0,10.5,1,1,Dr.,16
1,2,female,28.0,12.65,1,1,Mrs.,32
1,3,male,39.0,7.925,1,1,Mr.,18
0,3,male,26.0,8.05,1,1,Mr.,15
0,3,female,21.0,9.825,2,0,Miss.,24
0,3,male,28.0,15.85,2,0,Mr.,30
0,3,female,20.0,8.6625,1,1,Miss.,23
0,2,male,34.0,21.0,2,0,Mr.,18
0,3,male,51.0,7.75,1,1,Mr.,32
1,2,male,3.0,18.75,3,0,Master.,30
0,3,male,21.0,7.775,1,1,Mr.,33
0,3,female,29.69911764705882,25.4667,5,0,Miss.,18
0,3,male,29.69911764705882,7.8958,1,1,Mr.,18
0,3,male,29.69911764705882,6.8583,1,1,Mr.,15
1,1,female,33.0,90.0,2,0,Miss.,22
0,2,male,29.69911764705882,0.0,1,1,Mr.,30
1,3,male,44.0,7.925,1,1,Mr.,25
0,3,female,29.69911764705882,8.05,1,1,Mrs.,39
1,2,female,34.0,32.5,3,0,Mrs.,47
1,2,female,18.0,13.0,3,0,Miss.,29
0,2,male,30.0,13.0,1,1,Mr.,26
0,3,female,10.0,24.15,3,0,Miss.,25
0,3,male,29.69911764705882,7.8958,1,1,Mr.,22
0,3,male,21.0,7.7333,1,1,Mr.,19
0,3,male,29.0,7.875,1,1,Mr.,18
0,3,female,28.0,14.4,3,0,Mrs.,54
0,3,male,18.0,20.2125,3,0,Mr.,27
0,3,male,29.69911764705882,7.25,1,1,Mr.,22
1,2,female,28.0,26.0,2,0,Mrs.,43
1,2,female,19.0,26.0,1,1,Miss.,67
0,3,male,29.69911764705882,7.75,1,1,Mr.,16
1,3,male,32.0,8.05,1,1,Mr.,34
1,1,male,28.0,26.55,1,1,Mr.,41
1,3,female,29.69911764705882,16.1,2,0,Mrs.,49
1,2,female,42.0,26.0,2,0,Mrs.,51
0,3,male,17.0,7.125,1,1,Mr.,26
0,1,male,50.0,55.9,2,0,Mr.,25
1,1,female,14.0,120.0,4,0,Miss.,25
0,3,female,21.0,34.375,5,0,Miss.,36
1,2,female,24.0,18.75,6,0,Mrs.,37
0,1,male,64.0,263.0,6,0,Mr.,17
0,2,male,31.0,10.5,1,1,Mr.,38
1,2,female,45.0,26.25,3,0,Mrs.,43
0,3,male,20.0,9.5,1,1,Mr.,15
0,3,male,25.0,7.775,2,0,Mr.,25
1,2,female,28.0,13.0,1,1,Ms.,25
1,3,male,29.69911764705882,8.1125,1,1,Mr.,33
1,1,male,4.0,81.8583,3,0,Master.,25
1,2,female,13.0,19.5,2,0,Miss.,33
1,1,male,34.0,26.55,1,1,Mr.,27
1,3,female,5.0,19.2583,4,0,Miss.,30
1,1,male,52.0,30.5,1,1,Major.,30
0,2,male,36.0,27.75,4,0,Mr.,21
0,3,male,29.69911764705882,19.9667,2,0,Mr.,31
0,1,male,30.0,27.75,1,1,Mr.,31
1,1,male,49.0,89.1042,2,0,Mr.,24
0,3,male,29.69911764705882,8.05,1,1,Mr.,19
1,3,male,29.0,7.8958,1,1,Mr.,18
0,1,male,65.0,26.55,1,1,Mr.,25
1,1,female,29.69911764705882,51.8625,2,0,Mrs.,33
1,2,female,50.0,10.5,1,1,Miss.,19
0,3,male,29.69911764705882,7.75,1,1,Mr.,21
1,1,male,48.0,26.55,1,1,Mr.,19
0,3,male,34.0,8.05,1,1,Mr.,19
0,1,male,47.0,38.5,1,1,Mr.,17
0,2,male,48.0,13.0,1,1,Mr.,28
0,3,male,29.69911764705882,8.05,1,1,Mr.,18
0,3,male,38.0,7.05,1,1,Mr.,31
0,2,male,29.69911764705882,0.0,1,1,Mr.,21
0,1,male,56.0,26.55,1,1,Mr.,26
0,3,male,29.69911764705882,7.725,1,1,Mr.,18
1,3,female,0.75,19.2583,4,0,Miss.,29
0,3,male,29.69911764705882,7.25,1,1,Mr.,17
0,3,male,38.0,8.6625,1,1,Mr.,15
1,2,female,33.0,27.75,4,0,Mrs.,39
1,2,female,23.0,13.7917,1,1,Mrs.,44
0,3,female,22.0,9.8375,1,1,Miss.,27
0,1,male,29.69911764705882,52.0,1,1,Mr.,27
0,2,male,34.0,21.0,2,0,Mr.,23
0,3,male,29.0,7.0458,2,0,Mr.,25
0,3,male,22.0,7.5208,1,1,Mr.,25
1,3,female,2.0,12.2875,2,0,Miss.,24
0,3,male,9.0,46.9,8,0,Master.,30
0,2,male,29.69911764705882,0.0,1,1,Mr.,32
0,3,male,50.0,8.05,1,1,Mr.,24
1,3,female,63.0,9.5875,1,1,Mrs.,22
1,1,male,25.0,91.0792,2,0,Mr.,23
0,3,female,29.69911764705882,25.4667,5,0,Miss.,22
1,1,female,35.0,90.0,2,0,Mrs.,47
0,1,male,58.0,29.7,1,1,Mr.,23
0,3,male,30.0,8.05,1,1,Mr.,29
1,3,male,9.0,15.9,3,0,Master.,37
0,3,male,29.69911764705882,19.9667,2,0,Mr.,36
0,3,male,21.0,7.25,1,1,Mr.,19
0,1,male,55.0,30.5,1,1,Mr.,26
0,1,male,71.0,49.5042,1,1,Mr.,23
0,3,male,21.0,8.05,1,1,Mr.,26
0,3,male,29.69911764705882,14.4583,1,1,Mr.,21
1,1,female,54.0,78.2667,2,0,Miss.,30
0,3,male,29.69911764705882,15.1,1,1,Mr.,31
0,1,female,25.0,151.55,4,0,Mrs.,47
0,3,male,24.0,7.7958,1,1,Mr.,18
0,3,male,17.0,8.6625,1,1,Mr.,16
0,3,female,21.0,7.75,1,1,Miss.,19
0,3,female,29.69911764705882,7.6292,1,1,Miss.,30
0,3,female,37.0,9.5875,1,1,Miss.,30
1,1,female,16.0,86.5,1,1,Miss.,21
0,1,male,18.0,108.9,2,0,Mr.,42
1,2,female,33.0,26.0,3,0,Mrs.,45
1,1,male,29.69911764705882,26.55,1,1,Mr.,45
0,3,male,28.0,22.525,1,1,Mr.,24
1,3,male,26.0,56.4958,1,1,Mr.,14
1,3,male,29.0,7.75,1,1,Mr.,24
0,3,male,29.69911764705882,8.05,1,1,Mr.,17
1,1,male,36.0,26.2875,1,1,Mr.,25
1,1,female,54.0,59.4,2,0,Mrs.,46
0,3,male,24.0,7.4958,1,1,Mr.,17
0,1,male,47.0,34.0208,1,1,Mr.,28
1,2,female,34.0,10.5,1,1,Mrs.,28
0,3,male,29.69911764705882,24.15,1,1,Mr.,17
1,2,female,36.0,26.0,2,0,Mrs.,52
0,3,male,32.0,7.8958,1,1,Mr.,19
1,1,female,30.0,93.5,1,1,Miss.,21
0,3,male,22.0,7.8958,1,1,Mr.,15
0,3,male,29.69911764705882,7.225,1,1,Mr.,18
1,1,female,44.0,57.9792,2,0,Mrs.,47
0,3,male,29.69911764705882,7.2292,1,1,Mr.,17
0,3,male,40.5,7.75,1,1,Mr.,18
1,2,female,50.0,10.5,1,1,Miss.,20
0,1,male,29.69911764705882,221.7792,1,1,Mr.,18
0,3,male,39.0,7.925,1,1,Mr.,25
0,2,male,23.0,11.5,4,0,Mr.,27
